Professor,Department,Rating,Difficulty,Num_Ratings,Review_Example
Aaron Rock-Singer,Near Eastern Studies,4.3,4.0,3,"I really loved Prof. Rock-Singer's lectures because they cleared up anything I didn't understand in the pre class readings. His class definitely packed a lot of information about pre-modern Islamic civilization, but coming from no previous knowledge on this topic, it was easy to succeed if you do the readings and attend lecture."
Aaron Wagner,Engineering,5.0,4.1,10,"I took Wagner for ECE 2720 and initially didn't like him.  I matured a bit since then in terms of school preparation and took ECE 4670 with him recently. Wagner will not hold your hand --- you need to go to lecture, office hours, and understand the material well. But if you do, he's a fair guy, great lecturer, and the coursework is very doable."
Aaron Sachs,History,4.3,3.6,21,"Loved this class. Def long/annoying readings to do every week for discussion, and also coming to lecture is important as he doesn't do slides. Would recommend this class to anyone."
Aaron Childree,Government,4.0,3.0,1,"Had him as an FWS prof, and he did a good job directing the class. Good incorporation of book and essays. He taught lessons on how to improve writing, but he did not give specific details on how to improve certain aspects of an essay unless you asked. Pretty chill dude and is understanding of special circumstances if you make him aware of them. "
Aaron Hodges,Literature,4.5,4.7,3,"Aaron has devoted a number of years of his life to the subject matter he teaches. Having said this, he is very passionate and intuitive about his work. His sincere care about philosophy reflects a deep concern about human nature, and in a larger sense, the nature of nature. He is a wonderful instructor and I recommend taking his class."
Christian Otto,Architecture,4.6,3.3,4,A arch history teacher that will temper and refine your architectural knowledge from merely fashionable and abstract into reasoned and articulate.
Christian Danescu,Information Science,3.6,2.6,11,condescending and slams you with way too much homework at the beginning of the semester. not a nice person when you talk to him
Brock Schmutzler,Mathematics,1.5,4.3,15,This class is super time consuming and hard. The instructors expect you to know most about calculus before this class. If you don't know what you're doing they expect you to learn on your own through the textbook. The Math Learning Center was really helpful because Brock and the other instructors were not.
K Klosin,Mathematics,4.7,2.0,3,Professor Klosin was amazing! This class is really enjoyable and he teaches a lot of modern mathematics that is very interesting! There is only one project and a final but that shouldn't scare you because he is a very fair and easy grader! You can tell that he loves teaching and is always open for you to ask questions in class.
K Fisher,Art History,5.0,1.0,1,GREAT TEACHER! LOVED EVERY MINUTE
K Bingham Cady,Engineering,2.3,2.8,15,Probably the most pathetic professor I've ever met.  He can't teach anything or explain anything.  He assigned an incomprehensible book with too many errors.  If you're willing to turn in a paper every class that looks like the homework you should get an A.  (You'll notice I'm didn't care enough about the class to do that).
Madeline Casad,Comparative Literature,4.8,2.5,2,None
Steve Morgan,Sociology,3.8,2.6,19,"The structure of the class worked really well for me. The lectures were interesting for the most part. Subject matter is very relevant, which is a nice change from some of my other classes. Also, the debates he held allowed people the chance to express their opinions and learn from another. Overall, I would definitely recommend this class."
Gennady Samorodnitsky,Engineering,3.3,3.5,30,Very strict professor and content in lecture does not match that of exams.
Gennady Shvets,Engineering,3.5,4.3,4,"PHYS2217 was the biggest mistake of my freshman year. Shvets gives unclear lectures which often left me more confused than when I entered the room. Exams were unreasonably difficult even considering this course is classified as ""honors,"" evidenced by extremely low exam averages. The curve was a saving grace but not worth the misery of this class."
Anna Fang,Computer Science,5.0,3.0,1,"Very clear, exercises are really helpful, would take again 10/10! Best at Cornell!"
Zifeng Liu,African Studies,2.0,4.0,1,"Zifeng is a nice guy and its clear how interested he is and how much knowledge he has, but his class is so overwhelming. he assigned so many papers and assignments, and for about half of them hes only now submitting grades (on the last day of the semester). his comments arent helpful but are confusing and frustrating sometimes"
Petrus Liu,Literature,4.3,3.1,12,"Out of all of the classes I took at Cornell, this class has been the most rewarding and eye-opening. It is a fairly easy 2-credit class, but it has significantly challenged my opinions on pesticides. He's truly HILARIOUS even when he doesn't try to be, so his lectures are always engaging. Very good at explaining concepts and organized. TAKE IT!"
Kelly Liu,Biology,4.5,4.0,6,"Kelly was super enthusiastic about the material, which made going to class easy for me. I do think she is one of the more difficult professors, though. I would do many practice tests, which were always substantially easier than her exams. There were questions on the final I had never heard of. "
Crocker Liu,Business,3.0,4.6,8,"Oh, Crocker. Think of this class as the real estate minor weed-out course. We started the semester with 65 students and ended it with 16. You'll probably get a 25 on a test but don't worry... that'll be the median (heavy curve). Tedious psets & opaque grading. Rambling, nonsensical lectures. If you really want the minor, just get thru this class."
