Professor,Department,Rating,Difficulty,Num_Ratings,Review_Example
Rodrigo Fuentes,Languages,4.5,2.5,2,"Rodrigo is pretty great for only being a grad student, definitely definitely take him over Cecilia Lawless. Hes very chill in class and wont push you too hard to participate. Essays and assignments are actually pretty easy compared to other spanish classes, hes just not quite as easy a grader as you would expect."
Dayoung Kim,Management,5.0,3.3,3,"Professor Kim was amazing! She definitely is always there for her students and I loved taking her class. She uses real businesses like Amazon, Wal Mart, H&M to provide examples on difficult concepts which is extremely helpful. She's also extremely good looking as well, so that's a plus if that stuff matter to you lol."
Michael Kim,Computer Science,4.0,5.0,2,Very organized and clear lectures and seems very knowledgable about the course content. Would recommend to take CS 4820 with!
Hyuncheol Bryant Kim,Human Ecology,3.5,3.0,9,He is a nice guy but he glazes over most concepts. I really did not benefit much from going to his lectures and often had to return to the material in the textbook to reteach myself the basic concepts. Nice guy just not effective as an instructor in my opinion.
Eddy Kim,Design,1.8,3.4,3,If you want to learn how to use Adobe and useful FSAD modeling technology - this is not the course for you. There are only a few major assignments and your grade hinges entirely on what TAs you get and what mood they're in that day. Be prepared to get blindsided by a B- or lower if you make a single mistake on an assignment.
Sherri Kimes,Business,2.5,4.7,3,"I found her class extremely frustrating.  No matter what I did, I still got the exact same grade on every assignment. She gives students an overwhelming amount of work (6 ""small"" group projects, 3 individual decks, 3 large group projects, TONS of participation) and consistently failed to explain what she wanted on assignments in order to do well.  "
Jina Kim,English,1.7,5.0,3,Very strict in grading. Has an opinion and sees it as the only possible one. Horrible decision to take this class.
Vanessa  Bohns,Organizational Behavior,4.5,2.4,29,"Her lectures were really good and I enjoyed the class. My only complaints are how long it took to get grades back and the way there were very few assignments worth so much. But it wasnt hard to do well on the essays, and if you study a bit you'll ace the final"
Mahdi Esmaily Moghadam,Engineering,3.8,3.8,6,"BEST PROFESSOR I HAD AT CORNELL SO FAR
Great explanations, can be fast sometimes though so you have to be concentrating in class. But absolutely amazing, never wastes time but somehow still manages to not make lectures boring."
Lois Pollack,Physics,3.3,3.3,17,Good lectures and helpful demonstrations. Very fair exams and generously curved (I think). Accessible outside of class. Having a strong command of multivariate calc will help a lot. Purcell (the textbook) is quite good and should be read thoroughly to reinforce the lectures.
John Pike,Mathematics,4.5,3.5,2,Just watching Johns tight body while lecturing about the most interesting mathematical theories turns me on to a level beyond the Delorian Principal.  The way he Pi's is a pleasure to my eyes.
Sarah Murray,Linguistics,4.8,2.8,5,I felt like professor Murray really cared about how we were doing and she was very interesting and knowledgeable. I really enjoyed the class and would highly recommend the professor.
Murray McBride,Agriculture,5.0,3.5,4,He teaches some pretty complex material but explains it well. His midterm was difficult and you have to attend extra homework sessions to know how to do the problem sets. He has a really great dry sense of humor that made classes entertaining. :) I loved him as a professor but he was tough... you're expected to know everything on the slides!
Patrizia McBride,German,5.0,3.0,1,Simply phenomenal
Brent McBride,German,4.3,2.9,14,"McBride is a great prof! Always kind, caring, and understanding. He makes sure his class isn't conflicting with any other classes and is very flexible with extensions. Make sure to stay in communication with him if you can't meet a deadline - communication is key! The syllabus guarantees an A if all work is turned in (regardless of quality). "
Douglas McBride,German,4.7,2.3,3,"Though I meant to write this review at the end of the class, I am writing now because the most recent one is incredibly wrong.
There have been no bad reviews since February of this year.
This professor is so kind and their grading system allows for so much flexibility, as long as you put in an ounce of daily work his grading policy GUARANTEES an A."
Bruce Kusse,Engineering,4.4,4.0,29,"""I wish I could make you sorry."""
Bruce Turnbull,Engineering,2.4,3.4,10,"I personally find statistic an inherently boring subject to begin with having taken the AP class. That said, Turnbull did nothing to improve the subject for me. He monotoned perfectly for entire 75-minute lectures. I held out longer than most and stopped showing up to lecture for the last two weeks of the semester and I don't gong would have helped"
Bruce Halpern,Biology,4.5,1.7,11,"This was my all time FAVORITE class!! Halpern is the man. He's very energetic and knowledgeable...and pretty darn funny, too. LOTS of readings, but you learn time management and what you can get away with/without reading. Highly recommended!"
Bruce Rusk,Asian Studies,4.0,3.3,7,"The way the class is structured is that lectures mostly cover pots and paintings. The professor seems really helpful and nice, and he's pretty funny sometimes. But if you're not interested, it's kind of a hard class to stay awake in. Don't listen to the rumors-- you DO need to study for quizzes and put work into the essays. It's not a guaranteed A."
Bruce Fontaine,Mathematics,4.3,3.0,3,"I also had Professor Fontaine for MATH 2210 (lin alg). He is very nice, and if you look up his credentials, you can see that he's brilliant. His handwriting is sometimes hard to read, and sometimes hard to understand him because his voice sounds kind of muffled."
Bruce Lewenstein,Communication,4.1,2.3,21,A really great professor who genuinely cares about his students. He is very understanding and grades on your progress (not natural talent for writing). The writing labs were interesting and a great way to show participation. I am a shy student but would work hard during the lab and add to discussion boards and got credit for participation.
Bruce Lauber,Natural Resources,4.7,4.0,3,"Bruce is wonderfully aware of student dynamics in his classroom. He states his expectations clearly and reiterates often. His homework assignments are not too demanding. He is the ""cool dad"" type who is down-to-earth and very kind."
Diane Bailey,Communication,3.3,3.1,4,Shes just rude! Don't take this class unless you have to. 
Graeme Bailey,Computer Science,3.8,3.8,78,"I really enjoyed class with Prof Bailey. I loved lecture, and enjoyed the somewhat open ended problems, since he graded them fairly according to how open ended they were. I loved the final project, and found him helpful when I chose to wait to talk to him instead of a TA. Was reasonably understanding about asking for extension."
Andre Leclair,Physics,3.5,2.9,38,The worst lecturer I have had at Cornell. He was not engaging and described material like he didn't know physics himself. The tests were hard and NOTHING like the pre lecture videos or homework's. Largest standard deviations on each test that I have ever had at Cornell. 
Andre Kessler,Biology,4.5,4.0,1,"Field Ecology was very fun and very interactive, this guy is knowledgeable and he's worth a listen.  While he says statistics are optional, they're really not (know them)."
Adam Venom,Engineering,5.0,4.0,1,"Gave us inspirational classes, great translational classes for future Engineering studies."
Adam Anderson,Human Ecology,3.0,2.4,3,For PSYCH 1101. So random and completely out of rubric. Definitely not something should be taught in a PSYCH 1101 class. He is also using slides for HD 3660/ 1200 or whatever it is for this class. I haven't learn psychology at all before so everything does not make sense at all. use the same word as definition for the word. Writing before final day
Adam Litwin,Labor amp Employment Relations,3.6,3.1,10,"Best professor I have had at Cornell thus far. Professor Litwin really cares about his students on both an academic and personal level. He will give you an entire page letter of constructive feedback on essays. Always kept class positive and tried to involve everyone in discussions. Readings sometimes felt long and repetitive, but nothing too bad."
Adam Bojanczyk,Engineering,2.8,2.8,22,His lecture notes are messy and full of typos. His lecture in class is confusing as he seems like to talk to himself and ignore if students can understand or not. He couldn't explain theories straightforward and clear.
Adam Levine,Government,4.8,2.6,15,"Adam Levine is one of the best professors I have had at Cornell. You have to go to class everyday, but you don't have to do the readings. The tests are pretty easy if you review your notes"
Adam Klausner,Law,3.6,3.6,33,"Bias towards atheletes, changes answers on a whim if athletes said so, doesn't like to use Mic, can't hear him, can't listen to recordings, doesn't have concrete reasonings as to why his quiz answers are correct, multiple correct answers to one question. Trick questions. "
Arnab Basu,Economics,3.3,4.0,30,"Basu doesn't teach the best, even he acknowledges that, however: open book exams (canvas, lecture notes, notes),  ALL MCQ, weekly quizzes, 3 grading schemes to give you the best grade. Discussions were super helpful, lectures not so much. Compared to the other prof teaching econ, I'd take easy exams over teaching quality for this intro couse"
Alaka Basu,Sociology,3.5,2.8,12,"Alaka is an incredibly amazing professor. She doesn't expect you to reinvent the wheel but she does expect you to think critically. If you go to lectures (take good notes), do the readings, and make connections this will be more than enough to do well. Alaka really cares for her students so make sure you go to office hours for any clarifications!"
Kaushik Basu,Economics,4.5,3.1,34,Basu is an amazing professor -- he uses anecdotes from his experiences at the World Bank and at the Gov't of India! I loved his lectures and it really forced me to think differently about problems as well as more strategically. I found myself reading the optional material. Great class and prof; one of Cornell's best. The right amount of challenge.
Craig Snow,Hotel & Restaurant Management,4.0,4.7,34,"Snow is the best professor I've ever taken for at least three reasons, but his high standards are difficult for some students.  1. Great content: Snow developed and honed his content over 30 years. Great stuff. 2. Detailed, frequent feedback: He provides detailed written feedback & one-on-one tutorials. 3. Accountability: He holds us to standards."
Craig Frey,Computer Science,4.8,1.4,3,"super awesome way to quickly learn python for non CS majors!!! very sweet guy, brings his dog scooby to class "
Craig Fennie,Physics,2.9,3.6,12,"The worst professor that I have ever had in the entirety of my Cornell career. So disorganized, I completely wasted an entire semester taking his course. "
Nerissa Russell,Anthropology,4.0,2.0,2,prof is very passionate and knowledgable about what she teaches. assignments are straight from lectures
Russell Rickford,History,3.5,2.6,12,"Class subjects are interesting, unfortunately he is exhilarated by the deaths of innocent civilians."
Russell Lloyd,Hospitality,3.5,3.5,19,"My favorite stats professor of all time. Russ' lectures are hilarious, and he gives you a great impression of what it's like to be a statistician in the real world. Office hours were really helpful."
Jane Walcott,Chemistry,4.9,4.2,5,"Love Jane! A wonderful person, professor, and friend. Thank you!!"
Jane Juffer,English,4.3,3.4,7,"Absolute best professor I've ever had. Take a class with her, you will not regret it."
Jane Mendle,Human Ecology,5.0,2.5,2,"One of my favorite professors, she is a great lecturer. If you are interested in psych you will gain a lot from her course. Extremely organized and knowledgable. "
Jane Berger,History,3.6,2.0,5,"Love Prof. Berger! She's a really approachable, nice professor. It was a fun class"
Jane Wang,Engineering,2.6,3.5,4,"Took Intermediate Fluids with her in Spring 11. Her first time teaching the class, so some of the flaws can be given to growing pains. But on the whole, her lectures were very general and did not really help me do the homework (arbitrarily graded because the TAs didn't have a good way of scoring them), and her tests were utterly impossible."
Jane Fajans,Anthropology,2.1,2.1,23,"Keep up with the readings, lectures are boring, but I thought the material was decently interesting (maybe not to everyone). Class isn't too hard if you keep up, and exams just require you to regurgitate material."
Jane Glaubman,English,1.0,3.0,2,"Jane takes FWS too seriously. Papers are not only marked harshly, she gives them later than the subsequent paper is due which doesn't allow students to improve on their papers effectively. Lectures are boring and films are VERY long.

5 essays + a presentation (ungraded). Average workload except Essay 5 is 4000 words.... why? Avoid her."
Jane Marie Law,Religious Studies,4.6,3.0,78,"Attending Cornell and not taking a class with Professor Law would be a mistake. Her lectures are eye-opening and can change your entire perspective on the world, religion, conflict, stress, and reading for the better. She cares deeply for her students and it shows in her teaching. Everyone should take a class with Prof Law, regardless of major!"
Jonathan Kirshner,Political Science,3.6,3.8,36,"Took his 70's film class at BC. Unfortunately his class was way too hard. He expects so much on exams without giving clear guidelines and there is so much reading. Its a shame because his lectures are spectacular and he's so passionate, and his content is super interesting but I can't recommend his class unless you plan on pass/failing it. "
Jonathan Butcher,Engineering,3.5,3.5,2,Clear knowledge and has great control on the subject matter. Great lectures and good learning.
Jonathan McKenzie,Arts  Sciences,2.0,3.0,1,"Means well but lectures degrade into conceptual nonsense. FWS is very philosophy heavy and class is not based on traditional graphic novels but on informational graphic novels. It is hard to decipher what he wants in class at first, but become clear that you have to roll with his opinions. If you want an easy or interesting FWS this is not it."
Jonathan Culler,English,4.1,2.8,8,"Professor Culler, though a genuine sweet-heart, is not a great teacher. I love poetry but his lectures made me (and many others) fall asleep. His voice drones and is way too quiet. Lecture information isn't helpful for graded material. Also, he doesn't give clear grade criteria so I never felt confident handing in any of my assignments."
Jonathan Russell-Anelli,Agriculture,3.3,3.1,10,"Flipped class- lectures were online (1-3 hr per week) but they didn't always make sense. Class was meant to be used for homework, but half the time it was more lecturing. Bad class to take if you don't have friends taking it. Everything turned in on paper and he lost our first prelims. Goes over time on labs. However, really cares about students. "
Jonathan Tenney,Near Eastern Studies,4.6,2.1,7,"spring 2019, median A. Took it s/u great lecturer, entertaining. Gave fairly interesting readings. Im not a humanities person, not very analytical about history/lit  I just wrote down everything he said. I had trouble following sometimes bc I didnt try very hard, but I think his analyses were cool. Class is too big for his discussion format"
Jonathan Boyarin,Anthropology,3.3,1.8,3,Prof. Boyarin is a top quality teacher whose expertise spans a wide range of topics. His lectures threaded diverse perspectives and subjects into one cohesive presentation. Anyone with a modicum of motivation and a brain between their shoulders can get an A in his class. And those who engage and listen will learn a lot from him. 
Felix Thoemmes,Psychology,1.0,5.0,1,"The syllabus wasnt really clear. I was expecting he would have a course evaluation survey. The course is in ansynchronized type, he used recorded videos of past lectures. He will not respond to email immediately even if he seemed active on canvas discussion. I really like the materials and the course in general, and he is really advanced in R."
Kate Walsh,Hospitality,4.6,2.9,7,She is a nice woman but a little annoying. The tests are basically straight from the book and she gives ppts and handouts that are helpful.  Shes a solid teacher
Marygold Walsh-Dilley,Sociology,4.3,2.3,3,"This class is tough. I'm an A student, and I have gotten B's on every essay. She might have let my personal beliefs affect her grading, which I don't think is right. If you are willing to take a ""credit"", this class is for you, because she won't give you an A unless you get a 93 or above."
Susan Henry,Biology,2.0,2.5,2,This class was the easiest class I have taken at Cornell. She treats students like they have no knowledge of basic biology or genetics. All you have to do is show up and look through your notes the night before prelims to get an A. 1 short paper and an easy take-home final. Worth taking for the interesting articles and easy GPA booster.
Henry Tye,Physics,3.2,3.9,10,"The tests are the same every year, basically, but the material is still hard if you've never taken AP and if you don't keep up with lecture/reading. I found it hard to follow lecture, but that's just me. i fell asleep a lot."
Henry Schnieder,Economics,5.0,1.0,1,Prof Schnieder is great!  I learned so much very quickly.
Henry Wan,Economics,3.8,1.7,35,Sweetest professor ever
David Schneider,Engineering,1.5,2.4,20,"David is a cool guy, but not the best professor. His teaching style is very messy and it is easy to get lost. The class is so obnoxiously easy, however, that it doesn't end up mattering. "
Byron Suber,Fine Arts,4.5,3.2,5,"In Byron Suber's ballet class you will get an amazing work out, spiced up with tidbits of dance history. He makes you reevaluate the Ballet aesthetic and think about its socio-cultural implications. His style is based on classical ballet, however, be prepared for unusual combinations that will challenge you to ditch your habits."
Laurie Drinkwater,Science,1.0,2.0,1,"Despite being easy, this is the only course that I regret taking. Dr. Drinkwater is passive-aggressive, a poor communicator, fails to facilitate discussion but blames the class, and makes many errors but offers little grace. With scatterbrained lectures, redundant field trips, and elementary content, even the most motivated will learn very little."
Anne Blackburn,Theology,2.2,3.9,18,Good class
Anne Berger,French,4.6,2.8,4,"Professor Berger is absolutely outstanding. She really engages with the material and inspires her students to do the same. If you're willing to work, you will get a lot out of her classes. Also, it must be said that she is a very kind and thoughtful person who really cares about her students' success."
Anne Bracy,Computer Science,3.9,4.0,65,"Great, encouraging professor with clear, easy-to-follow lectures. Holds helpful office hours and review sessions. Projects in the class are a great balance of challenging and engaging. Learned a ton in the class and would recommend to anyone who is trying to get into CS!"
James Lloyd,Astronomy,4.0,2.5,4,"ASTRO 3334 is a great chance to get hands-on experience with Python techniques in Astronomy. Lloyd is helpful in class, although difficult to reach outside of it. The class consisted of 8 projects that ranged from the very easy (apply to research programs online) to finding exoplanets and other difficult tasks. You need Python experience."
Vida Maralani,Sociology,4.4,4.0,3,"I love Professor Maralani. She is intelligent, cool, and a great lecturer. She clearly cares so much about her students and wants to get to know them individually, even in a large class. She's transparent about her process as a professor and genuinely wants feedback to improve, even with a lot of teaching experience under her belt. Great class!"
Meredith Silberstein,Engineering,1.9,3.9,19,Ridiculously hard content with very little explanation. Inhuman amount of homework and tough grading.
Meredith Small,Anthropology,3.6,2.8,17,"I had no idea what to expect when signing up for this class, but I can honestly say that it completely changed my outlook on the idea of parenting. She's brilliant, and yet still seems happy to be teaching us. The 4 quizzes shouldn't be a problem if you go to class and take notes. Take this class, it will change your views on everything."
Meredith Holgerson,Biology,5.0,2.5,2,Would take a class with her again
Suzanne Lane,Engineering,5.0,2.0,1,"Dr. Lane was incredibly good considering she teaches ENGRC courses which engineering students notoriously hate. She was respectful of our time and tailored the class to our future careers. Generous with extensions, kind, tolerant of slang/swearing during discussions, and baked cupcakes for us! Would love to get to know her if I weren't graduating."
Suzanne Shu,Marketing,3.9,3.4,9,"This class was okay, it gives you a sampling of knowledge you need for future classes. She didn't really help anyone understand anything, so thankfully the material is pretty easy. Projects/HW is usually easy but time consuming."
Suzanne Mettler,Political Science,4.6,3.0,29,"Amazing professor. Really organized + engaging lectures. There's a manageable amount of readings per week plus textbook chapters, however you don't actually need to read the textbook in order to do well in the class. The assignments are tedious but doable and are graded pretty fairly. "
Vincent Ialenti,Anthropology,4.7,3.7,3,Great course.
Kathy Selby,Physics,4.9,2.3,11,"What everyone's said is true. She might first seem a little scary bc she's brilliant but she's not scary. She's hands down one of, if not the BEST professor I've ever had so far at Cornell. She listens to every question and answers, is seriously prepared for every lecture, and makes all her tests fair. 10/10 would take another class just for her."
David Orr,English,5.0,3.0,1,"Prof. Orr is super nice and knowledgeable. Despite his amazing educational and professional background (Princeton, Yale Law, New York Times), he is humble, listens to you, and stays after class however late if you have any questions. Course materials are carefully chosen. Totally recommend any class with him."
David Orr,Engineering,5.0,2.0,1,"Great lecturer. Was happy to go to class every week. Entertaining, loves to answer questions. Good demos in class. Super nice and curved reasonably. Just an awesome dude."
Tamara Loos,Humanities,5.0,2.5,16,"Class itself is not hard and I would it's an easy A if you put in the work (which is a lot). However, there's a lot of reading so if you don't want to read a LOT, do not take this class. Attendance is mandatory for lecture and discussion sections. Lecture is incredibly annoying because the assigned readings tell you the same stuff in more detail."
Tamara  McGavock,Economics,4.0,4.0,1,"Wonderful teacher. There to help. Subject is rather difficult so going to office hours is essential. Tests are tough, but doable. Homework assignments are fairly easy and serve to solidify knowledge of the subjects taught in class. Did an excellent job teaching her first semester of Labor Econ. Textbook not mandatory but helps."
Xiaodong Cao,Mathematics,2.9,3.3,13,"Had Professor Cao for 1920 but there was no option for that choice. His lectures aren't organized very well, making it very difficult to discern what's important and what isn't in his lectures. Had to learn everything from reading the textbook. To be fair, it looks like it was his first semester teaching 1920 and he tried his best to be a good prof"
Xiadong Cao,Mathematics,5.0,5.0,1,"Professor Xiadong is a very caring and compassionate professor. He inspired me to learn about Ricci flow and alleviated some of my insecurities about applying for graduate school. Only suggestion I would have is to encourage more collaboration among students. If multiple students worked together on a single paper, it would more likely be published."
Claudia Lazzaro,Art History,3.8,3.2,12,"boring class, but good professor"
Claudia Fischbach-Teschl,Biology,3.6,2.8,4,"Not a bad professor for lack of ability but lack of care about anything related to the course or its students. I don't know why she's in the field, because she could make anything associated with it more boring than simply watch the clock tick on. Also, her grading system is quite honestly atrocious."
Claudia Verhoeven,History,4.6,3.6,13,"Although Professor Verhoeven is very knowledgeable and a good lecturer, the class involved overly complicated paper assignments that are harshly graded and a lot of reading. "
Nate Foster,Computer Science,4.5,4.0,20,"Good prof, great class, but not a spectacular lecturer."
Nate Sutter,Veterinary Sciences,4.0,4.0,1,"Some people were frustrated with some of his lectures in the genetics section of Block II, but he also had the hardest topics (e.g. some other professors had ""This is a gene"" or ""Simple modes of inheritance"")."
Nate Veldt,Mathematics,5.0,3.0,4,"The BEST lecturer I've had in CSCE department. Notes are clear enough to get you an A without attending anything, but attending the lecture would probably inspire you to pursue more in his field. Very patient, helpful, and responsive both in and out of classroom. Well organized and developed course structure, definitely have him if you can."
Tom Volman,Anthropology,3.0,2.8,13,"Really great guy, he is really passionate about what he is teaching. Lectures can be rambling and confusing, but they didn't really matter for your grade. No tests just short papers every few weeks and two longer ones. Not an easy A but an easy B. It does take extra effort to get those final points, but average work will get you a B.  "
Andrew Clark,Molecular Biosciences,4.0,5.0,1,"The problem sets are pretty difficult, so you basically have to go to office hours with the TA to get the answers, since it's a pretty significant chunk of your grade. The midterm is in class and you can bring a cheat-sheet and the final paper can be on anything you want. Overall a pretty solid class."
Daria Bottan,Economics,3.0,3.5,2,"She did a good job at explaining how to use the formulas, but she didn't explain the theory behind them very well. Expect a lot of simple computation and some short proofs, which aren't difficult compared to proofs from other classes, like CS 2800."
Nicolas Bottan,Human Ecology,4.0,3.5,2,Very kind professor and engaging during lecture. He allowed problems sets to be worked on with a partner but they were still very hard and sometimes not covered in lecture. I would take another course by him though!
Nicholas Mulder,History,2.0,3.0,22,He really doesn't know how to explain things and his office hours are such a waste of time. Highly recommend having ChatGPT replace him. 
Chad Uran,Anthropology,4.0,4.0,1,"Well respected and esteemed professor. Don't try to cut any corners in his class, he is very good at picking out slackers."
Chad Lewis,Chemistry,4.3,3.6,5,"Extremely good teacher, very dry (hilarious) sense of humor. Covers material fast, but you learn to keep up. Very passionate about chemistry. Teaches so you really understand where your electrons go. Hard to get by if you try to memorize without understanding the chemistry. All in all, one of the best professors I've had at Cornell."
Chad McIntosh,Philosophy,4.5,3.5,2,Prof was very knowledgeable and interested in what he is teaching about. Syllabus is clear and Chad is open to listen to and learn from students. Writing assignments helped me practice writing often and class was engaging. I felt lucky to take his class and would again if I could.
Evan Cooch,Natural Resources,5.0,4.0,34,"Best professor I've had at Cornell. Period. Explains things more clearly than any other instructor - truly interested in your learning the material. I can't say enough good things. Only bad thing is, I learned recently he's retiring from teaching soon. Take his classes while you can. Not sure what the major will look like when he hangs them up. "
Evan Riehl,Economics,5.0,3.0,11,"Professor Riehl has been my favorite teacher at Cornell and his class has been excellent. Must take for all ILRies, Inequality in higher education. Tough class but very worth it. "
C. Lindsay Anderson,Engineering,4.7,2.6,13,"Great professor, passionate lectures, very project heavy and quizzes directly came from lectures"
C. Y. Hui,Engineering,3.3,3.3,34,"As a graduate student, I really love him even though the materials were extremely hard for me. His passion for mechanics and teaching really push you to another level. He makes me realize that I'm far from claiming I'm good at mechanics."
Tyrell Stewart-Harris,English,3.1,3.8,7,"Ridiculously sarcastic and he's the only one that finds his jokes funny. He frequently picks on one student at a time and makes rude jokes towards them to make fun of them. Man comm should be an easy class, but he made it as difficult as possible with his grading scale and unimportant lectures."
Karl Shell,Economics,5.0,4.0,1,Best prof ever.
Karl Niklas,Biology,4.7,2.5,44,"Karl cares immensely about his undergraduate students, and is incredibly distinguished in this field. He goes out of his way to help and mentor students in their careers. When grading, he will taken into account your commitment to the class, so expect to attend lectures. Hands down, the best professor I've had during my time at Cornell."
Matt Ryan,Agriculture,3.8,1.8,3,"One of the easiest classes at Cornell if you just show up. Minimal studying is needed if you go to lectures, and pay close attention during labs. Field Trips are engaging and tie back into exams. Lots of small projects, reading, and quizzes throughout the semester so just keep up with all the work. Watch the syllabus and you'll be fine. "
Ryan Nehring,Sociology,5.0,2.0,2,"He will literally go out of his way to help you on literally anything. He is super chill. Easy A, and you actually learn valuable skills and subject material."
Ryan Randle,Medieval Studies,5.0,2.4,3,"My favorite class at Cornell so far. Lectures were very engaging and just a ton of fun. Essay prompts were enjoyable and the research process was straightforward. Ryan is understanding and clearly cares for her students very much. Just show up and try your best, and your efforts will be recognized. "
Ryan Tapping,Physics,5.0,3.1,15,"Best professor I've had so far at Cornell. Very patient, encourages questions and makes sure you really understand the content in office hours. I loved attending office hours and thought they were extremely helpful. E&M itself is a hard subject but he explains it well in bare terms. He's very humble and open to feedback. Overall great guy. "
Corey Ryan Earle,History,4.7,1.3,3,"Literally the easiest A+ you could possibly get at Cornell. Honestly, I felt a little bad throughout the course because since it was so beyond easy, nobody took the course seriously. A few extra mandatory assignments could make the course better in my opinion to keep students engaged. Lectures and professor were great otherwise."
Jason Mokhtarian,Religion,2.9,3.1,4,Genuinely one of the laziest professors I have had. Every class was exactly the same and he just liked to listen to himself talk. He was often condescending and grading was completely arbitrary. 
Jason Mezey,Mathematics,4.4,3.0,5,"Mezey is a fantastic professor. Lectures are well-paced, clear, and he records them to make them accessible. He's accessible outside of class and hosts great OH. He wants everyone to do well and cares about engagement. This was my favorite class at Cornell, I wish he taught a part 2. The class will not be easy if you don't know R, but still doable."
Jason Manning,Mathematics,1.8,4.3,9,He's a fine teacher and while I would not choose to take him again he is definitely better than other math professors. His handwriting on the board was a little hard to read but not impossible. Fine professor but there are better.
Jason Carrier,Fine Arts,2.0,3.0,2,Doesn't really know how to teach a course and gives virtually no guidance on what he expects from you. Took course over summer and he tried to pack too much into the six week session. Be prepared to take a lot of photos and read the syllabus because he won't answer a question if it is on the syllabus.
Jason Locasale,Health Science,4.5,3.5,2,Great professor.  great class
Jason Phipps-Morgan,Science,4.5,1.0,3,Just an all round gem. Whatta boyyyy
Jeffrey Moses,Engineering,3.0,1.0,1,This class was annoying busy work. Moses lectures well and cares about his students. Exams are really easy. Lab is boring and annoying.
Ariel Avgar,Labor amp Employment Relations,5.0,2.8,4,"Cares about his students, but the class was often very boring."
Thomas Duncan,Engineering,5.0,3.5,2,Best professor ever. Love him to death.
T. Michael Duncan,Engineering,4.5,4.0,57,"Very good lecturer. Grading is spread evenly between homework, prelims and a final. Workload is fairly light. Lectures follow the textbook, but I would recommend reading the textbook before every lecture. Grading was lenient on exams and class was slightly curved. Would highly recommend this class for an engineering distribution as well."
Cynthia Reinhart-King,Engineering,4.5,3.0,2,"Overall, the class was interesting and fairly enjoyable. However, some of the lecturers were boring and lectured beyond our knowledge. Also, the HW focused only on a few guest lecturers, and ignored the rest. The project wasn't too bad, but wasn't well organized and the directions were vague. Decent class overall, but could be better organized."
Cynthia Camp,Writing,4.0,3.0,4,"I WOULD NOT PREFER. I RECEIVING A 50 ON THE FIRST ESSAY, I ASKED FOR GUIDANCE. WE EMAILED BACK AND FORWARDS ABOUT 3TIMES CONCERNING THE 2ND ESSAY. I MADE ALL CORRECTION AND TWEEKS SHE ASKED ME TO MAKE THREEEE TIMESSSS, AND I STILL RECEIVED A 'C' ON THE ESSAY. don't do it unless you want to drop your gpa!"
Cynthia Bowman,Law,5.0,1.0,1,"Fabulous woman. Knows her stuff (she co-authored the text). Approachable, engaging, & funny. If you do the work, the class is not difficult. The TAs are nice law students. A few short papers & a final exam (law school style) which turns out to be the most fun (yes a fun exam) exam I have ever had that legit. tested my understanding of the material"
Cynthia Turner,Music,4.6,3.7,7,I was in Wind Symphony and loved every minute of it. Bet that dude didn't practice. Professor Turner is an amazing teacher and musician.
Cynthia Lin-Lawell,Business,4.3,2.4,4,"It was the easiest Class I took at Cornell!
The professor is really nice and gives out free points from time to time. Even though the class is 3 hours long, she always finishes early. She also hands out handmade fortune cookies! She's a very caring professor. It was the best class I had! :)"
Cynthia Kinsland,Chemistry,3.0,4.4,41,Apparently Kinsland in 1570 is totally different than Kinsland in 2510. She's honestly a great lecturer and makes learning orgo somewhat fun. However the class is curved to a B which is pretty harsh
Cynthia Robinson,Art History,3.5,3.0,2,"The online format made the class 90% straight up lecture, 5% asking students to participate, and 5% about rabbits. Professor Robinson is definitely very knowledgeable about what she's teaching, especially since she is considered a leading scholar in the field. However, it can be quite abstract, and lectures are VERY important."
Cynthia Leifer,Animal Science,5.0,3.0,1,"Dr. Leifer was an amazing lecturer. She covers the innate immunity portion of the course, which she knows inside out like the back of her hand. Her explanations are abundantly clear and her lectures are thoroughly engaging. She also occasionally says witty things to keep you entertained. She's my favorite lecturer from the course."
Gregory Ezra,Chemistry,3.0,4.8,9,"Very smart prof with a passion for the subject.
He has high standards - I did not reach them, but I learned so much. Psets are darn-near impossible for us mere mortals. Prelims graded very fairly and give so much feedback. You can get sub-30 on a prelim and still get a B.
The mathematica nightmares will go away, but your knowledge won't.
Take 3890."
Gregory Londe,English,5.0,2.5,10,"Professor Londe is a great teacher. His lectures were engaging and fun. The grading criteria were as clear as can be, and if there was any confusion, he is attentative to anybody with any questions. Readings were enjoyable, and the amount was reasonable. Take this class if it seems interesting, and you won't be dissapointed."
Gregory Besharov,Economics,3.2,3.6,39,"He is extremely knowledgable about microeconomics and is genuinely interested in helping students, especially during office hours (which he conducted even over weekends during exam season!) Sections with the TA are really helpful but skipping lectures is not an option. His exams are slightly long but the curve in this course is generous."
Gregory McLaskey,Engineering,5.0,1.0,1,Great class. He does a good job at reinforcing which concepts are important while keeping lectures fun and informative.
Gregory Norkus,Hospitality,4.3,2.3,3,"Take this class if you can, but it's difficult to get in.  Useful, fun, but biweekly quizzes can be tough."
Kristen Angierski,English,4.5,2.7,6,Very interesting prof if you are among those who wish to read fiction about climate change.
Kristen Streahle,Art History,4.3,3.1,26,"She is really passionate about her subject which is great! we would receive long and hard readings every other class and she gave us A LOT of papers to write. In this class you will have a reading and 1-2 people in your class will be discussion leaders for the reading, and the next time in class you discuss the reading. we did not have slide tests."
